Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-September-2022,261.00,264.65,258.35,263.85,261.492333736254708899,340844,5447,89128093.00,88547,25.98,6.30,2.85
5-September-2022,259.00,262.75,257.60,260.35,260.574026041438556706,616479,11774,160638415.00,253188,41.07,5.15,1.35
2-September-2022,265.10,265.60,256.00,257.30,259.780607464243410003,905008,19849,235103528.00,473512,52.32,9.60,-7.80
1-September-2022,264.75,268.95,262.30,263.35,265.056921333031058716,441100,6244,116916608.00,195210,44.26,6.65,-1.40
30-August-2022,268.60,272.00,268.60,270.15,270.234899007415481675,605490,10286,163624529.00,319892,52.83,3.40,1.55
29-August-2022,257.00,267.20,257.00,266.25,263.372942178305097657,735122,12539,193611244.00,252807,34.39,10.20,9.25
26-August-2022,267.20,274.95,267.20,269.65,272.125315997055712032,963221,16414,262116819.00,478947,49.72,7.75,2.45
25-August-2022,268.90,271.25,264.50,265.50,268.624839009924564650,369588,5529,99280517.00,134964,36.52,6.75,-3.40
24-August-2022,262.70,267.30,261.65,266.65,265.346307225790156760,657243,12283,174397003.00,339015,51.58,5.65,3.95
23-August-2022,252.30,263.35,252.30,262.40,260.640391362801678908,731904,13236,190763745.00,390418,53.34,11.05,10.10
22-August-2022,260.00,264.20,255.70,257.00,259.469864148253973936,614567,7490,159461616.00,231410,37.65,8.50,-3.00
19-August-2022,267.00,267.95,260.30,261.95,264.436403837713815880,900015,13834,237996730.00,355165,39.46,7.65,-5.05
18-August-2022,266.30,268.20,262.80,265.50,265.788397040983801527,840820,10901,223480200.00,240591,28.61,5.40,-0.80
17-August-2022,265.00,268.65,262.60,266.30,266.259378521195166491,1441272,18606,383752187.00,576180,39.98,6.05,1.30
16-August-2022,264.85,266.80,254.65,262.75,258.725927611740130536,1230310,19302,318313096.00,423634,34.43,12.15,-2.10
12-August-2022,257.50,264.90,255.75,262.50,262.434516020981801801,606049,6712,159048176.00,167449,27.63,9.15,5.00
11-August-2022,258.70,260.40,255.60,256.40,257.451245206758828648,627446,10463,161536754.00,262466,41.83,4.80,-2.30
10-August-2022,259.40,259.75,251.95,256.65,255.617479206712573229,435958,5929,111438485.00,130833,30.01,7.80,-2.75
8-August-2022,253.25,257.90,253.05,256.75,255.698535738685673135,812355,11947,207717984.00,456490,56.19,4.85,3.50
5-August-2022,251.00,256.70,250.15,253.25,254.344222435870640527,430614,5975,109524183.00,111288,25.84,6.55,2.25
4-August-2022,251.00,253.65,245.85,250.15,249.968954812004139358,402961,6596,100727740.00,99187,24.61,7.80,-0.85
3-August-2022,251.70,254.40,246.40,248.85,249.507318749804710246,352041,4970,87836806.00,98443,27.96,8.00,-2.85
2-August-2022,255.90,255.90,247.30,252.45,251.256804083091273950,545665,6755,137102044.00,161828,29.66,8.60,-3.45
1-August-2022,257.95,257.95,253.35,255.35,254.530666041179230091,1360006,6074,346163233.00,1051631,77.33,4.60,-2.60
29-July-2022,245.95,256.40,245.35,254.00,253.029137730675453151,1902619,21785,481418045.00,985899,51.82,11.05,8.05
28-July-2022,243.50,247.60,240.60,245.50,244.388262530236721809,933881,12176,228229555.00,380810,40.78,7.00,2.00
27-July-2022,240.00,244.50,235.90,243.55,241.533615724486173024,608376,6397,146943255.00,125202,20.58,8.60,3.55
26-July-2022,241.00,244.90,239.15,241.30,242.311017464857299336,657320,8048,159275878.00,215964,32.86,5.75,0.30
25-July-2022,260.70,261.50,253.70,258.00,256.760119916839630991,1745543,21340,448185830.00,714621,40.94,7.80,-2.70
22-July-2022,257.50,260.00,255.10,258.45,257.586609176585163776,1554587,17910,400440794.00,560256,36.04,4.90,0.95
21-July-2022,256.40,256.50,251.05,254.80,253.991305798535673525,1318695,18726,334937065.00,544143,41.26,5.45,-1.60
20-July-2022,248.60,259.80,245.00,253.45,252.351485457117674662,2309996,24570,582930922.00,696739,30.16,14.80,4.85
19-July-2022,237.50,240.70,229.65,238.60,237.882334080777396633,973094,12021,231481872.00,280207,28.80,11.05,1.10
18-July-2022,231.45,238.05,229.30,237.40,231.719708909975966275,2308839,16431,535003501.00,1454795,63.01,8.75,5.95
15-July-2022,231.40,231.40,224.95,227.90,227.746232900493021317,576040,6665,131190940.00,170028,29.52,6.45,-3.50
14-July-2022,235.40,235.65,226.50,227.85,229.431919164255263944,832503,11902,191002761.00,256649,30.83,9.15,-7.55
13-July-2022,231.00,233.45,228.05,232.00,230.486071392480719849,1157797,15332,266856082.00,485699,41.95,5.40,1.00
12-July-2022,228.50,236.85,225.10,230.80,230.198995797614108869,631546,7824,145381255.00,107235,16.98,11.75,2.30
11-July-2022,223.50,232.20,221.55,229.40,228.189535833176308020,716445,8055,163485252.00,124861,17.43,10.65,5.90
8-July-2022,232.25,233.00,221.05,223.95,225.431328066763253635,1640663,19202,369856839.00,383331,23.36,11.95,-8.30
7-July-2022,217.60,229.00,216.00,227.70,222.218115340938656447,1306804,17929,290395522.00,506655,38.77,13.00,10.10
6-July-2022,214.30,215.15,206.30,214.50,210.615641465157251487,964347,12507,203106562.00,220828,22.90,8.85,0.20
5-July-2022,220.00,223.40,215.95,216.85,219.693951149008816847,1000471,14487,219797427.00,292592,29.25,7.45,-3.15
4-July-2022,214.30,217.25,209.50,216.65,213.752701483353317297,411163,5904,87887202.00,99028,24.08,7.75,2.35
1-July-2022,221.75,223.55,206.10,213.95,214.357043991684585765,1119848,18006,240047307.00,285567,25.50,17.45,-7.80
30-June-2022,232.70,234.25,222.30,222.95,226.614046709959862837,1002313,15290,227138205.00,309442,30.87,11.95,-9.75
29-June-2022,232.05,235.35,230.80,232.10,232.945421079570061813,914364,11298,212996907.00,267540,29.26,4.55,0.05
28-June-2022,226.95,235.80,222.05,234.90,229.415342852382865710,1326533,16187,304327023.00,311296,23.47,13.75,7.95
